Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Communication Sciences and Disorders B.S.,CSD 269,Deaf Culture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 462,Clinical Bases of Language Disorders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 261,Introduction to Psychology of Learning,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 311,Clinical Phonetics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 146,Introduction to Communication Sciences and Disorders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 442,Introduction to Disorders of Articulation and Phonology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 459W,Principles of Clinical Management in Communication Disorders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 230,Introduction to Audiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 129,Introduction to Human Development and Family Studies,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 331,Anatomy and Physiology for Speech and Hearing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 300,Developmental Considerations in the Assessment and Treatment of Language   Disorders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 444,Introduction to Organic Disorders of Speech and Language,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 212,Introduction to Developmental Psychology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 433,Aural Rehabilitation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 341,Acoustic Principles in Communication Sciences and Disorders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,CSD 451,An Introduction to Augmentative and Alternative Communication,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,EDPSY 101,Analysis and Interpretation of Statistical Data in Education,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 200,Elementary Statistics in Psychology,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,STAT 200,Elementary Statistics,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 229,Infant and Child Development,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 249N,Adult Development and Aging,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 315,Family Development,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 411,The Helping Relationship,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 418,Family Relationships,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,HDFS 432,Developmental Problems in Childhood and Adolescence,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 270,Introduction to Abnormal Psychology,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
Communication Sciences and Disorders B.S.,PSYCH 471,Psychology of Adjustment and Social Relationships,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/communication-sciences-disorders-bs/
