Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
"Community, Environment, and Development B.S.",CED 327,Environment and Society,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 275,"Community, Environment and Development Professional Seminar",1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CAS 138T,Rhetoric and Civic Life II,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CMPSC 203,Introduction to Spreadsheets and Databases,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 417,"Power, Conflict, and Community Decision Making",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 152,Community Development Concepts and Practice,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",AGBM 101,Economic Principles of Agribusiness Decision Making,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",AGBM 106,Agribusiness Problem Solving,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 201,Introductory Environmental and Resource Economics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",RSOC 11,Intro Rural Sociology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",GEOG 260,Geographic Information in a Changing World: Introduction to GIScience,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CAS 100,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 404,"Community, Environment and Development Research Methods",4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 230,Development Issues in the Global Context,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 252,Anti-Racist Theory and Practice in Community Work,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",GEOG 160,Mapping Our Changing World,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 475,CED Integrated Capstone Experience,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",CED 309,Land Economics and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"Community, Environment, and Development B.S.",SOC 1,Introductory Sociology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
