Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Earth Sciences B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,EMSC 100S,Earth and Mineral Sciences First-Year Seminar  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,EARTH 2,The Earth System and Global Change,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,EARTH 101,Natural Disasters:  Hollywood vs. Reality,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,EARTH 103N,Earth in the Future:  Predicting Climate Change and Its Impacts Over the   Next Century,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,EARTH 105N,Environments of Africa:  Geology and Climate Change,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 30N,Environment and Society in a Changing World,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 110,,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 111,,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 115,Landforms of the World,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 160,Mapping Our Changing World,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 1,Physical Geology,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 21,Earth and Life: Origin and Evolution,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,METEO 3,Weather Revealed: Introductory Meteorology,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,SOILS 101,Introductory Soil Science,,A,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 310,Introduction to Global Climatic Systems,,B,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 412,,,B,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 402Y,Natural Disasters,,B,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 470W,Introduction to Field Geology,,B,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,METEO 471,,,B,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 412,,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 430,Human Use of Environment,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOG 438W,Human Dimensions of Global Warming,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 204,Geobiology,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 320,Geology of Climate Change,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 340,Geomorphology,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 402Y,Natural Disasters,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,GEOSC 416,Stable and Radioactive Isotopes in Geosciences: Introduction,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,METEO 300,Fundamentals of Atmospheric Science,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,METEO 431,Atmospheric Thermodynamics,,C,15,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,Climatology,,,G,18,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,Marine Science,,,G,18,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,Watersheds & Water Resources,,,G,18,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,Earth Systems,,,G,18,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
Earth Sciences B.S.,Global Business Strategies for Earth and Environmental Industries,,,G,18,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/earth-sciences-bs/
