Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Economics B.S.,ECON 302,Intermediate Microeconomic Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,ECON 306,Introduction to Econometrics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,ECON 304,Intermediate Macroeconomic Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,CMPSC 203,Introduction to Spreadsheets and Databases,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,ECON 106,Statistical Foundations for Econometrics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
Economics B.S.,CMPSC 101,Introduction to Programming,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/economics-bs/
