Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Electrical Engineering B.S.,MATH 220,Matrices,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 300W,Design Process,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 200,Design Tools,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 210,Circuits and Devices,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 232,Calculus of Several Variablesand Integral Vector Calculus,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 250,Ordinary Differential Equations,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPSC 121,Introduction to Programming Techniques,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPEN 271,Introduction to Digital Systemsand Digital Design Laboratory 1,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 230,Calculus and Vector Analysis,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 340,Introduction to Nanoelectronics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ENGL 138T,Rhetoric and Civic Life II,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPSC 132,Programming and Computation II: Data Structures,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPSC 131,Programming and Computation I: Fundamentals,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 231,Calculus of Several Variablesand Integral Vector Calculus,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 310,Electronic Circuit Design I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPEN 275,Introduction to Digital Systemsand Digital Design Laboratory 1,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 403W,Capstone Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 330,Engineering Electromagnetics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,EE 350,Continuous-Time Linear Systems,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPSC 122,Intermediate Programming,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,CMPEN 270,Digital Design: Theory and Practice,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
Electrical Engineering B.S.,ENGL 137H,Rhetoric and Civic Life I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/electrical-engineering-bs/
