Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Elementary and Kindergarten Education B.S.,SPLED 400,"Inclusive Special Ed Foundations: Legal, Characteristics, Collaboration, Assessment, and Management",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 400,Teaching Literacy in Early Childhood,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 401,Teaching Literacy in Elementary School,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,KINES 126,The Health Program for the Elementary School Child,1.5,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,AED 303,The Visual Arts in the Elementary School,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,HIST 20,American Civilization to 1877,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,EDTHP 115,Education in American Society,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 402,Teaching Children's Literature,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,SSED 430W,Teaching Social Studies in the Elementary Grades,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MATH 200,Problem Solving in Mathematics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495B,Clinical Application of Instruction - Middle Level Education,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,ENGL 100,English Language Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 295,Introductory Field Experience for Teacher Preparation,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495D,Practicum in Student Teaching--Childhood and Early Adolescent Education,12,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,EDTHP 115A,Competing Rights: Issues in American Education,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495F,Professional Development Practicum,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,SCIED 458,Teaching Science in the Elementary School,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MUSIC 241,Music for Classroom Teachers,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MTHED 420,Teaching Mathematics In The Elementary Schools,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,HIST 21,American Civilization Since 1877,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
