Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Engineering Science B.S.,ESC 261M,Computational Methods in Engineering,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 302H,"Thermodynamics, Heat Conduction, and Principles of Modeling, Honors",4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 409,"Senior Research and Design Project Preparation, Honors",1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CMPSC 201,Programming for Engineers with C++,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EE 210,Circuits and Devices,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 210H,"Statics and Strength of Materials, Honors",5,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 210,Statics and Strength of Materials,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 404,Analysis in Engineering Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 410,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 433,Engineering Science Research Laboratory Experience,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 407,"Computer Methods in Engineering Science, Honors",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 312,"Engineering Applications of Wave, Particle, and Ensemble Concepts",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 230,Calculus and Vector Analysis,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 414M,Elements of Material Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 411,"Senior Research and Design Project II, Honors",2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 220,Matrices,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 212,Dynamics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CAS 100A,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 212H,Dynamics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 14,Principles of Economics,,A,1,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,,A,1,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,,A,1,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
