Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Film Production B.A.,COMM 150N,The Art of the Cinema,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 333,Film History for Filmmakers I: The Development of the Cinema to 1960,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 340,Intermediate Cinematography and Editing Techniques,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 242,Basic Video/Filmmaking,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 342W,Idea Development and Media Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 337,Intermediate Documentary Production,,A,6,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 338,Intermediate Narrative Production,,A,6,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 339,Intermediate Alternative Production,,A,6,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 437,Advanced Documentary Production 1,,B,3,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 437A,Advanced Documentary Production Abroad 1,,B,3,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 438,Advanced Narrative Production 1,,B,3,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 439,Advanced Alternative Production 1,,B,3,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 448,Advanced Group Production I 2,,B,3,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 346,Writing for the Screen I,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 437,Advanced Documentary Production 1,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 437A,Advanced Documentary Production Abroad 1,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 438,Advanced Narrative Production 1,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 439,Advanced Alternative Production 1,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 440,Advanced Cinematography and Lighting Techniques,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 443,Producing Workshop,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 444,Advanced Post-Production Techniques,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 445,Directing Workshop,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 446,Writing for the Screen II,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
Film Production B.A.,COMM 449,Advanced Group Production II,,C,9,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/film-production-ba/
