Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Food Science B.S.,FDSC 415,Science and Technology of Muscle Foods,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 200,Introductory Food Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,STAT 250,Introduction to Biostatistics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 414,Science and Technology of Dairy Foods,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 409,Laboratory in Food Microbiology,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MICRB 201,Introductory Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,PHYS 250,Introductory Physics I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 406W,Physiology of Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MATH 140B,Calculus and Biology I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 403,Sensory Data Collection & Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 202D,Effective Writing: Business Writing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 450,Food Innovation and Product Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 413,Science and Technology of Plant Foods,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 400,Food Chemistry and Analysis (I),3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BMB 212,Elementary Biochemistry Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 408,Food Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 410,Food Chemistry and Analysis (II),3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CAS 100,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 404,Sensory Evaluation of Foods,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BMB 211,Elementary Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 411,Managing Food Quality,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 417,Food Laws and Regulations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 201,Introductory Food Science Practicum,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 405,Food Engineering Principles,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MICRB 202,Introductory Microbiology Laboratory,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 202,Fundamentals of Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
