Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Geography B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 230,"Geographic Perspectives on Environment, Society and Sustainability",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 260,Geographic Information in a Changing World: Introduction to GIScience,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,EMSC 100S,Earth and Mineral Sciences First-Year Seminar,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 301,Thinking Geographically,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 390,Professional Development Seminar in Geography,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 220,Perspectives on Human Geography,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 464,Advanced Spatial Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 364,Spatial Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 210,Geographic Perspectives on Environmental Systems Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 493,Service Learning (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 494,Research Project in Geography (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 494H,Research Project in Geography (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 495,Internship (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 495B,Geography Teaching Internship (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
Geography B.S.,GEOG 495G,Giscience Internship (1-3 credits),,A,3,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geography-bs/
