Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Geosciences B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 472A,Field Geology I (Introduction to Field Methods,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 201,Earth Materials,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 204,Geobiology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,EMSC 100S,Earth and Mineral Sciences First-Year Seminar  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 494W,Senior Thesis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 496,Independent Studies,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,PHYS 213,General Physics:  Fluids and Thermal Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 310,Earth History,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 203,Physical Processes in Geology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 1,Physical Geology 2,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 472B,Field Geology II (Advanced Field Methods),3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 202,Chemical Processes in Geology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 465,Structural Geology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
