Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Graphic Design B.A.,GD 300,Design Photography,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 301,Experience Design Process + Methods,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 1S,First-Year Seminar in Graphic Design,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 201,Typography,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 100,Introduction to Graphic Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 400,Time and Sequence,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 200,Graphic Design Studio I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 115N,Visualizing Information,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 203,Typography 2,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 303,Applied Experience Design,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,PHOTO 202,Fundamentals of Professional Photography,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 302,Applied Communication,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,AA 121,Design Thinking and Creativity,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,IST 250,Introduction to Web Design and Development,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 102,Design Foundation 2,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 101,Design Foundation I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 202W,The History of Graphic Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 495,Internship,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,IST 256,Programming for the Web,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 402,Senior Problems,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 297,Special Topics,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 304,Practical Communications,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 310,Studio Apprenticeship,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 397,Special Topics,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 401,Package Design,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 404,,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 495,Internship,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
Graphic Design B.A.,GD 497,Special Topics,,A,6,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/graphic-design-bdes/
