Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Human Development and Family Studies B.S.,HDFS 301,Values and Ethics in Health and Human Development Professions,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 312W,Empirical Inquiry in Human Development,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 216,Thoughtful Communication for Navigating Human Interactions and Relationships,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 311,Human Development and Family Studies Interventions,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 129,Introduction to Human Development and Family Studies,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 101N,Helping People: Introduction to Understanding Social Problems & How to Help,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 229,Infant and Child Development,,B,6,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 239,Adolescent Development,,B,6,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 249N,Adult Development and Aging,,B,6,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 315,Family Development,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 315Y,Family Development,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,SOC 30,Sociology of the Family,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,EDPSY 101,Analysis and Interpretation of Statistical Data in Education,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 200,Quantitative Skills for Human Services,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,STAT 200,Elementary Statistics,,C,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490,Professional Development and Preparation for Internship Experience,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495A,Internship:  Advanced Experience (9 credits),,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495B,Internship:  Advanced Project,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490,Professional Development and Preparation for Internship Experience,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495B,Internship:  Advanced Project,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495C,Professional Practicum in Human Services (3 credits),,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,6 Additional Credits with Department Approval,,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490,Professional Development and Preparation for Internship Experience,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495A,Internship:  Advanced Experience (3-6 credits),,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 495B,Internship:  Advanced Project,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval),,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 494,Research Project (6 credits),,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 494H,Senior Honors Thesis,N/A,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 496,Independent Studies,N/A,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,3 Credits of 400-Level HDFS,,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 310M,,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 494,,,D,15,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
