Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Information Sciences and Technology B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 210,Organization of Data,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 301,Information and Organizations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 495,Internship,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ENGL 202D,Effective Writing: Business Writing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 220,Networking and Telecommunications,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 440W,Information Sciences and Technology Integration and Problem Solving,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 230,"Language, Logic, and Discrete Mathematics",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 110,"Information, People and Technology",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 331,Foundations of Human-Centered Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
