Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Kinesiology B.S.,BIOL 163,Human Anatomy and Physiology II - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 100,The Cultural and Behavioral Foundations of Kinesiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 345,"Meaning, Ethics, and Movement",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,BIOL 161,Human Anatomy and Physiology I - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 341,"The Historical, Cultural, and Social Dynamics of Sport",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 360,The Neurobiology of Motor Control and Development,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 101,The Biophysical Foundations of Kinesiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 350,Exercise Physiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 321,Psychology of Movement Behavior,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,NUTR 251,Introductory Principles of Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 384,Biomechanics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 295B,Kines Careers & Observation,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 202,Functional Human Anatomy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,SCM 200,Introduction to Statistics for Business,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,STAT 200,Elementary Statistics,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,STAT 250,Introduction to Biostatistics,,A,3,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
