Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Labor and Human Resources B.A.,ECON 14,Principles of Economics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 104,Introductory Macroeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 202,Understanding Employee Behavior,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 458Y,History of Work in America,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 312,Research Methods in Labor and Employment Relations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 201,Employment Relationship: Law and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR/WMNST 136Y,"Race, Gender, and Employment",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 100,Exploring Work and Employment,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,PSYCH 281,Introduction to Industrial-Organizational Psychology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 305,Human Resources Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 460,Ethics in the Workplace,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 304,Labor and Employment Relations Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ACCTG 211,Financial and Managerial Accounting for Decision Making,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,AFAM 100N,Black Freedom Struggles,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,AFAM 110N,Introduction to African American Studies,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,BA 243,"Social, Legal, and Ethical Environment of Business",,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,BA 304,Management and Organization,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,BLAW 243,Legal Environment of Business,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,CAS 203,Interpersonal Communication,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,CAS 352,Organizational Communication,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 342,Industrial Organization,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,HIST 155,American Business History,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,MGMT 100,Survey of Management,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,MGMT 301,Basic Management Concepts,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,MGMT 321,Leadership and Motivation,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,OLEAD 100,Introduction to Leadership,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,OLEAD 409,Leadership Development: A Life-Long Learning Perspective,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,OLEAD 464,Communication Skills for Leaders in Groups and Organizations,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,OLEAD 465,Collective Decision Making,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,SOC 103,Racism and Sexism,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,SOC 110,Sociology of Gender,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,SOC 119N,"Race, Ethnicity and Culture",,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,"Any 400-level AFAM, CAS, ECON, HIST, LTNST, MGMT, PHIL, PSYCH, SPAN, SOC, WMNST course",,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
