Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Labor and Human Resources B.S.,ECON 14,Principles of Economics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,SCM 200,Introduction to Statistics for Business,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 202,Understanding Employee Behavior,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 458Y,History of Work in America,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 312,Research Methods in Labor and Employment Relations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 201,Employment Relationship: Law and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR/WMNST 136Y,"Race, Gender, and Employment",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 100,Exploring Work and Employment,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,PSYCH 281,Introduction to Industrial-Organizational Psychology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 305,Human Resources Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 460,Ethics in the Workplace,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 304,Labor and Employment Relations Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
