Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Landscape Contracting B.S.,BIOL 127,Introduction to Plant Biology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 101,Horticultural Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,CHEM 101,Introductory Chemistry,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 468,Landscape Estimating and Bidding,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,SOILS 101,Introductory Soil Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,TURF 100,Introduction to Turfgrass Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,ACCTG 211,Financial and Managerial Accounting for Decision Making,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 410W,Issues in Landscape Contracting,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,BA 303,Marketing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 137,Ornamental Plant Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 120,Computer Applications for Landscape Contracting,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,CHEM 130,"Introduction to General, Organic, and Biochemistry",N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 408,Landscape Plant Establishment and Maintenance,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,MKTG 220,Introduction to Selling Techniques,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 131,Herbaceous Perennial and Annual Identification,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 138,Ornamental Plant Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,PLANT 217,Landscape Soil and Water Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,LARCH 60,Cultural History of Designed Places,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,ENGL 202D,Effective Writing: Business Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,TURF 235,The Turfgrass,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
