Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Latin American Studies B.A.,HIST 179,Latin-American History Since 1820,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ANTH 45N,Cultural Diversity: A Global Perspective,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PORT 1,Elementary Portuguese I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 131,Ibero-American Civilization,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 200,Intensive Grammar and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PLSC 456,Politics and Institutions of Latin-American Nations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,HIST 178,Latin-American History to 1820,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,AFAM/SPAN 132,Afro-Hispanic Civilization,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ANTH 8,"Aztec, Inca, Maya",,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ANTH 422,Meso-American Archaeology and Ethnography,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,CMLIT 405,Inter-American Literature,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ECON 14,Principles of Economics  1,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ECON 104,Introductory Macroeconomic Analysis and Policy,N/A,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ECON 333,International Economics,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,ECON 433,Advanced International Trade Theory and Policy,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,HIST 467,Latin America and the United States,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,HIST 468,Mexico and the Caribbean Nations in the Twentieth Century,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PLSC 422,,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PLSC 442,American Foreign Policy,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PORT 2,Elementary Portuguese II,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PORT 3,Intermediate Portuguese,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,PORT 405,Advanced Composition and Conversation,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 300,Advanced Grammar and Composition Through Reading,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 305,Spanish for Social Services,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 410,Advanced Oral Expression and Communication,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 412,Translation,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 472,The Contemporary Spanish American Novel,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
Latin American Studies B.A.,SPAN 476,Masterpieces of Spanish American Literature,,A,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/latin-american-studies-ba/
