Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Materials Science and Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 493W,Materials Science and Engineering Multidisciplinary Capstone Design Project,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 494W,Research and Design Senior Project,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 419,Computational Materials Science and Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,CHEM 112,Chemical Principles II,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,IE 424,Process Quality Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,EMSC 100S,Earth and Mineral Sciences First-Year Seminar  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 112,Applied Materials Chemistry for Engineers,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 413,Solid-State Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 430,Materials Characterization,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,CMPSC 200,Programming for Engineers with MATLAB,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 462,General Properties Laboratory in Materials,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 202,Introduction to Polymer Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATSE 492W,Materials Engineering Methodology and Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
Materials Science and Engineering B.S.,MATH 141G,Calculus with Earth and Mineral Sciences Applications II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/materials-science-engineering-bs/
