Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Mechanical Engineering B.S.,ME 348,"Circuit Analysis, Instrumentation, and Statistics",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATH 220,Matrices,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 360,Mechanical Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 450,Modeling of Dynamic Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 211,Statics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 300,Engineering Thermodynamics I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 330,Computational Tools,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 370,Vibration of Mechanical Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATSE 259,Properties and Processing of Engineering Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 212,Dynamics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 435,Mechanical Engineering Systems Lab,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CMPSC 201,Programming for Engineers with C++,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 320,Fluid Flow,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 410,Heat Transfer,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 441W,Thermal Systems Design Project,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CMPSC 200,Programming for Engineers with MATLAB,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ME 340,Mechanical Engineering Design Methodology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 213,Strength of Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CAS 100A,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
