Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Medieval Studies B.A.,HIST 107,Medieval Europe,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,MEDVL 108,Medieval Civilization,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,MEDVL 107,Medieval Europe,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201,Ancient to Medieval Architecture,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 312,Romanesque and Gothic Art,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 402,The Illuminated Manuscript,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 412,The Gothic Cathedral,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 422,Studies in Medieval Sculpture,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 442,Late Antique and Early Christian Art,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 452,Byzantine Art,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 105,The Byzantine Empire,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 108,Crusades: Holy War in the Middle Ages,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 141,Medieval and Modern Russia,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 165,"Islamic States, Societies and Cultures c. 600-1500",,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 407,Early Medieval Society,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 408,Church and State in the High Middle Ages,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 411,Medieval Britain,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 412,Innovation in Medieval Europe,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 413,Medieval Celtic Studies,,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 471Y,"Classical Islamic Civilization, 600-1258",,A,24,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
