Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Middle East Studies B.A.,HIST/JST 181,Introduction to the Middle East,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,HIST/JST 305Y,Middle East Studies Research Workshop,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,CMLIT 7,Introduction to Middle Eastern Literatures,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,HIST/ARAB/RLST 165,"Islamic States, Societies and Cultures c. 600-1500",,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,HIST/JST 190,The Middle East Today,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,PLSC 267N,Government and Politics of the Middle East,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,RLST 107,Introduction to Islam,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ANTH/JST/PLSC/SOC 60N,Society and Cultures in Modern Israel,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ARAB 1,Elementary Modern Standard Arabic I,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ARAB 2,Elementary Modern Standard Arabic II,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ARAB 3,Intermediate Modern Standard Arabic,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ARAB 110,"Arab Language, Cultures, and Current Topics",,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
Middle East Studies B.A.,ARAB/RLST 164,Introduction to the Qur'an,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-ba/
