Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Mining Engineering B.S.,EMCH 210,Statics and Strength of Materials,5,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 422,Mine Ventilation and Air Conditioning,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNPR 301,Elements of Mineral Processing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,GEOSC 201,Earth Materials,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 441,Surface Mining Systems and Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 404,Mine Materials Handling Systems,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,EME 460,Geo-resource Evaluation and Investment Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 230,Introduction to Mining Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MATH 250,Ordinary Differential Equations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 223,,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,EMSC 100S,Earth and Mineral Sciences First-Year Seminar  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNPR 413,Mineral Processing Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,GEOSC 1,Physical Geology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 410,Underground Mining,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,EE 211,Electrical Circuits and Power Distribution,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,PHYS 213,General Physics:  Fluids and Thermal Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 451W,Mining Engineering Project,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,STAT 301,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 331,Rock Mechanics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,MNG 411,Mine Systems Engineering,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,ENGL 15,Rhetoric and Composition,,A,23,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,,A,23,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,PHIL 103,Ethics,,A,23,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
Mining Engineering B.S.,PHIL 106,Business Ethics,,A,23,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/mining-engineering-bs/
