Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Nutritional Sciences B.S.,BIOL 163,Human Anatomy and Physiology II - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,STAT 250,Introduction to Biostatistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,BIOL 161,Human Anatomy and Physiology I - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,BIOL 164,Human Anatomy and Physiology II - Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,BIOL 162,Human Anatomy and Physiology I - Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,NUTR 251,Introductory Principles of Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,NUTR 451,Nutrition throughout the Life Cycle,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,STAT 200,Elementary Statistics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,NUTR 452,Nutritional Aspects of Disease,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
Nutritional Sciences B.S.,NUTR 490W,Nutrition Seminar,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/nutritional-sciences-bs/
