Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Organizational Leadership B.S.,OLEAD/LHR 464,Communication Skills for Leaders in Groups and Organizations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,OLEAD 210,Evidence-Based Leadership,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,LHR 312,Research Methods in Labor and Employment Relations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,OLEAD 201,Organizational Theory and Functions for Leaders,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,OLEAD/LHR 465,Collective Decision Making,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,OLEAD 100,Introduction to Leadership,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,PSYCH 484,Work Attitudes and Motivation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
Organizational Leadership B.S.,"ACCTG, AFAM, AFR, AGBM, AMST, ANTH, ASIA, BA, BBH, BLAW, CAS, CEDEV, COMM, CRIM, CRIMJ, ECON, EDUC, ENTR, FIN, FR, GER, HIST, HDFS, HLS, HPA, IB, IST, IT, LA, LAS, LAWSC, LHR, MATH, MGMT, MIS, MKTG, OLEAD, PHIL, PLSC, PSYCH, PUBPL, RUS, SCM, SOC, SPAN, STAT, WMNST",,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/organizational-leadership-bs/
