Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Pharmacology and Toxicology B.S.,BIOL 230W,Biology:  Molecules and Cells,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 210,Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 213W,Laboratory in Organic Chemistry - Writing Intensive,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 395,Internship,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BMB 221,Applied Biochemistry,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 240W,Biology:  Function and Development of Organisms,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,PHYS 250,Introductory Physics I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 141,Introduction to Human Physiology,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BMB 212,Elementary Biochemistry Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,PHYS 251,Introductory Physics II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 212,Organic Chemistry II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BBH/HPA 440,Principles of Epidemiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,STAT 250,Introduction to Biostatistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 438,Introduction to Molecular Pharmacology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 220W,Biology:  Populations and Communities,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC/BMB 433,Molecular and Cellular Toxicology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BMB 211,Elementary Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 496,Independent Studies,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 430,Principles of Toxicology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,ERM/VBSC 431,Environmental Toxicology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 331,Pharmacology I: Drug Actions and Reactions,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,STAT 200,Elementary Statistics,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 230,The Science of Poisons,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
