Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Philosophy B.S.,PHIL 12,Symbolic Logic,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 11,Science and Truth,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 13,Nature and Environment,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 110,Philosophy of Science,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 125,Theories of Knowledge,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 125W,Theories of Knowledge,N/A,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 126,Metaphysics,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 126W,Metaphysics,N/A,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 127,Philosophy of Mind,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 129,Philosophy of Language,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 107,Philosophy of Technology,,B,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 118,Environmental Philosophy,,B,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 132,Bioethics,,B,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 133N,Ethics of Climate Change,,B,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 134,"Food, Values, and Health",,B,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 403,Seminar in Environmental Ethics,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 407,Seminar in Philosophy of Technology,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 410,Seminar in Philosophy of Science,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 425W,Seminar in Epistemology,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 426W,Seminar in Metaphysics,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 427,Seminar in Philosophy of Mind,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,PHIL 432,Medical and Health Care Ethics,,C,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 111,Logic for Computer Science,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 121,Introduction to Programming Techniques,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 131,Programming and Computation I: Fundamentals,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 360,Discrete Mathematics for Computer Science,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 441,Artificial Intelligence,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,CMPSC 442,Artificial Intelligence,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,ECON 306,Introduction to Econometrics,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,ECON 402,Decision Making and Strategy in Economics,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,ECON 411,Behavioral Economics,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,ECON 414,,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,ECON 474,Experimental and Behavioral Economics,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,IST 230,"Language, Logic, and Discrete Mathematics",,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,IST 240,Introduction to Computer Languages,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 315,,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 427,Foundations of Geometry,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 457,Introduction to Mathematical Logic,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 465,Number Theory,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 475Y,History of Mathematics,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,MATH 486,Mathematical Theory of Games,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,RM 301,Risk and Decisions,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,SC 205N,BS: Identifying Bias and Falsehood,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,SRA 231,Decision Theory and Analysis,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
Philosophy B.S.,STAT 318,Elementary Probability,,D,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/philosophy-bs/
