Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Physics B.S.,MATH 220,Matrices,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 237,Introduction to Modern Physics,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 252,Ordinary Differential Equationsand Partial Differential Equations,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 400,Intermediate Electricity and Magnetism,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 444,Topics in Contemporary Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 410,Introduction to Quantum Mechanics I,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 230,Calculus and Vector Analysis,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 420,Thermal Physics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 457W,Experimental Physics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 213,General Physics:  Fluids and Thermal Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 232,Calculus of Several Variablesand Integral Vector Calculus,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 419,Theoretical Mechanics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 250,Ordinary Differential Equationsand Partial Differential Equations,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 231,Calculus of Several Variablesand Integral Vector Calculus,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 101,Introduction to Programming,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 121,Introduction to Programming Techniques,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 131,Programming and Computation I: Fundamentals,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 200,Programming for Engineers with MATLAB,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 201,Programming for Engineers with C++,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CMPSC 204,Introduction to Computational Sciences Programming,,A,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
