Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Planetary Science and Astronomy B.S.,BIOL/GEOSC 474,Astrobiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,ASTRO 401,Fundamentals of Planetary Science and Astronomy,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,ASTRO 402W,"Astronomical Telescopes, Techniques, and Data Analysis",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,PHYS 251,Introductory Physics II,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,PHYS 250,Introductory Physics I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,EARTH 100,Environment Earth,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,EARTH 103N,Earth in the Future:  Predicting Climate Change and Its Impacts Over the   Next Century,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,EARTH 106,,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,EARTH 150,Dinosaur Extinctions and Other Controversies,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,EARTH 402,Modeling the Earth System,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,GEOG 160,Mapping Our Changing World,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,GEOSC 201,Earth Materials,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,GEOSC 202,Chemical Processes in Geology,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,GEOSC 203,Physical Processes in Geology,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,GEOSC 204,Geobiology,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,METEO 101,Understanding Weather Forecasting,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
Planetary Science and Astronomy B.S.,METEO 201,Introduction to Weather Analysis,,A,12,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-and-astronomy-bs/
