Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Political Science B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 308,Introduction to Political Research,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 300,Introduction to Independent Thesis Research,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 309,Quantitative Political Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 10,Scientific Study of Politics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 1,"American Politics: Principles, Processes and Powers",,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 3,Comparing Politics around the Globe,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 7N,Contemporary Political Ideologies,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 14,International Relations,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 17N,Introduction to Political Theory,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CMPSC 101,Introduction to Programming,,B,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CMPSC 121,Introduction to Programming Techniques,,B,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CMPSC 203,Introduction to Spreadsheets and Databases,,B,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,GEOG 363,Geographic Information Systems,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,GEOG 364,Spatial Analysis,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 410,Strategy and Politics,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 380,Data Science Through Statistical Reasoning and Computation,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 461,Analysis of Variance,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 462,Applied Regression Analysis,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 463,Applied Time Series Analysis,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 466,Survey Sampling,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,Courses from a department approved list,,,E,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,LA 495,Undergraduate Field Experience or Practicum,,F,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 494,Research Project,,F,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 496,Independent Studies,,F,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,Data intensive course from a department list,,,F,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
