Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Premedical-Medical B.S.,SC 494,Research Project Courses,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 210,Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BMB 402,General Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BMB 401,General Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 213,Laboratory in Organic Chemistry,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 212,Organic Chemistry II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,STAT 250,Introduction to Biostatistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 213,General Physics:  Fluids and Thermal Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,STAT 200,Elementary Statistics,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,SC 294,Research Project Courses,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 230W,Biology:  Molecules and Cells,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL/VBSC 421,Comparative Anatomy of Vertebrates,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 437,Histology,N/A,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 440,Evolution of Infectious Diseases,N/A,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 472,Human Physiologyand Laboratory in Mammalian Physiology,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 473,Human Physiologyand Laboratory in Mammalian Physiology,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MICRB 201,Introductory Microbiologyand Introductory Microbiology Laboratory,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MICRB 202,Introductory Microbiologyand Introductory Microbiology Laboratory,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHIL/BIOET 432,Medical and Health Care Ethics,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CAS 453,Health Communication Theory and Research,N/A,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,NURS 464,Dying and Death,N/A,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
