Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Psychology B.A.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 301W,Basic Research Methods in Psychology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 105,Psychology as a Science and Profession,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 490,Senior Seminar in Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 200,Elementary Statistics in Psychology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 253,Introduction to Psychology of Perception,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 256,Introduction to Cognitive Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 260,Neurological Bases of Human Behavior,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 261,Introduction to Psychology of Learning,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 212,Introduction to Developmental Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 221,Introduction to Social Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 231,Introduction to the Psychology of Gender,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 238,Introduction to Personality Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 243,Introduction to Well-being and Positive Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 269,Evolutionary Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 270,Introduction to Abnormal Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
Psychology B.A.,PSYCH 281,Introduction to Industrial-Organizational Psychology,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-ba/
