Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Psychology B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 301W,Basic Research Methods in Psychology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 105,Psychology as a Science and Profession,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 490,Senior Seminar in Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 200,Elementary Statistics in Psychology,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,ENGL 202A,Effective Writing: Writing in the Social Sciences,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 253,Introduction to Psychology of Perception,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 256,Introduction to Cognitive Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 260,Neurological Bases of Human Behavior,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 261,Introduction to Psychology of Learning,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 212,Introduction to Developmental Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 221,Introduction to Social Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 231,Introduction to the Psychology of Gender,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 238,Introduction to Personality Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 243,Introduction to Well-being and Positive Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 269,Evolutionary Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 270,Introduction to Abnormal Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
Psychology B.S.,PSYCH 281,Introduction to Industrial-Organizational Psychology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/psychology-bs/
