Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Rehabilitation and Human Services B.S.,RHS 400W,Case Management and Communication Skills,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 303,Group Work in Rehabilitation Practice and Human Services,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 403,Medical Aspects of Disability,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 300,Introduction to Rehabilitation and Human Services,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 401,Community Mental Health Practice and Services,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 402,Children and Families in Rehabilitation Settings and Human Services,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CI 185,Principles of Social Justice in Education,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,PSYCH 270,Introduction to Abnormal Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 301,Introduction to Counseling as a Profession,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 302,Client Assessment in Rehabilitation and Human Services,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 493,Professional Development and Internship Preparation in RHS,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 495A,Rehabilitation and Human Services Internship,12,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 100,Introduction to Disability Culture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,SOC 1,Introductory Sociology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,SOC 119N,"Race, Ethnicity and Culture",4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,ANTH 21,Introductory Biological Anthropology,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BIOL 133,Genetics and Evolution of the Human Species,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BIOL 141,Introduction to Human Physiology,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC 1,Structure and Function of Organisms,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC 2,"Genetics, Ecology, and Evolution",,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC 3,Environmental Science,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC 4,Human Body: Form and Function,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,EDPSY 101,Analysis and Interpretation of Statistical Data in Education,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,STAT 100,Statistical Concepts and Reasoning,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,STAT 200,Elementary Statistics,,A,3,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CNED 401,Foundations of Chemical Dependency Counseling,,B,6,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CNED 416,Interpersonal Relationships and Alcohol and Other Drugs (AOD) Dependency,,B,6,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CNED 421,Counseling Strategies for Preventing Chemical Dependency,,B,6,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
