Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Security and Risk Analysis B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 210,Organization of Data,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SOC 5,Social Problems,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 495,Internship,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ENGL 202D,Effective Writing: Business Writing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 211,Threat of Terrorism and Crime,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 365,Statistics for Security and Risk Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 221,Overview of Information Security,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 111,Introduction to Security and Risk Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 231,Decision Theory and Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 110,"Information, People and Technology",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 432,Legal and Regulatory Environment of Information Science and Technology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,STAT 460,Intermediate Applied Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
