Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Sociology B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,SOC 1,Introductory Sociology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,SOC 470,Intermediate Social Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,STAT 200,Elementary Statistics  1,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,SOC 400W,Senior Research Seminar 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,SOC 207,Research Methods in Sociology 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,STAT 184,Introduction to R,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,SOC 405,Sociological Theory 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,CMPSC 101,"Introduction to Programming  (Students should take 101 version based in Python, not C++)",,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,CMPSC 121,Introduction to Programming Techniques,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,CMPSC 131,Programming and Computation I: Fundamentals,,A,3,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,CMPSC 203,Introduction to Spreadsheets and Databases,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 220,Data Management for Data Sciences,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 310,Machine Learning for Data Analytics,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 330,Visual Analytics for Data Sciences,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 402,Emerging Trends in the Data Sciences,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 410,Programming Models for Big Data,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
Sociology B.S.,DS 420,Network Analytics,,C,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sociology-bs/
