Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Statistics B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,MATH 230,Calculus and Vector Analysis,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,MATH 220,Matrices,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT/MATH 414,Introduction to Probability Theory,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT/MATH 415,Introduction to Mathematical Statistics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 400,Statistical Modeling II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 300,Statistical Modeling I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 470W,Capstone for Statistics Major--Problem Solving and Communication in Applied Statistics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 380,Data Science Through Statistical Reasoning and Computation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 184,Introduction to R,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 480,Introduction to SAS,,A,1,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 481,Intermediate SAS for Data Management,,A,1,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 482,Advanced Topics in SAS,,A,1,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
Statistics B.S.,STAT 483,Statistical  Programming in SAS,,A,1,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/statistics-bs/
