Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Turfgrass Science B.S.,PPEM 412,Turfgrass Disease Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 434,Turfgrass Edaphology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,SOILS 101,Introductory Soil Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 12,Introductory Biology I and Introductory Biology II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,HORT 101,Horticultural Science,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,AGBM 106,Agribusiness Problem Solving,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 127,Introduction to Plant Biology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 495,Internship,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 11,Introductory Biology I and Introductory Biology II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,METEO 101,Understanding Weather Forecasting,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 436W,Case Studies in Turfgrass Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENGL 202D,Effective Writing: Business Writing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 238,Turf and Ornamental Weed Control,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 230,Turfgrass Pesticides,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,MATH 21,College Algebra with Analytic Geometry with Applications I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 435,Turfgrass Nutrition,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 235,The Turfgrass,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 425,Turfgrass Cultural Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 130,"Introduction to General, Organic, and Biochemistry",N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 110,Chemical Principles I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 490,Colloquium,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 307,Golf Course Irrigation and Drainage,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,METEO 3,Weather Revealed: Introductory Meteorology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 202,Fundamentals of Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENT 317,Turfgrass Insect Pest Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 101,Introductory Chemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
