Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Veterinary and Biomedical Sciences B.S.,ANSC 301,Principles of Animal Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,ANSC 423,Comparative Physiology of Domestic Animals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,VBSC 211,The Immune System and Disease,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,MICRB 201,Introductory Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,PHYS 250,Introductory Physics I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,MATH 140B,Calculus and Biology I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,ANSC 201,Animal Science,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,PHYS 251,Introductory Physics II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
