Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Wildlife and Fisheries Science B.S.,or STAT 301,,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,WFS 310,Wildlife and Fisheries Measurements,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,SOILS 101,Introductory Soil Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,WFS 209N,Wildlife and Fisheries Conservation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,PHYS 250,Introductory Physics I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,WFS 300,The Vertebrates,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,FOR 350,Forest Ecosystem Monitoring and Data Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL 240W,Biology:  Function and Development of Organisms,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
