Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Workforce Education and Development B.S.,WFED 1,Education for Work:  Trends and Issues,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 441,Conceptual and Legal Bases for Cooperative Vocational Education,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 442,Operating Cooperative Vocational Education Programs,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 323,Vocational Student Organizations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 445,Vocational Guidance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 413,Vocational Education for Special-Needs Learners,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 101,Early Field Experience in Teaching Vocational Industrial Education/Health  Occupations Education Sub,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 106,Program and Facilities Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 207W,Assessment Techniques,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 105,Integrated Curriculum Implementation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,EDTHP 115,Education in American Society,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
