Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
World Language Education B.S.,WLED 300,Foundations of Second Language Teaching,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,SPLED 403B,Evidence-Based Methods for Teaching Secondary Students with Disabilities   in Inclusive Settings,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,PSYCH 412,Adolescence,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,SPLED 400,"Inclusive Special Ed Foundations: Legal, Characteristics, Collaboration, Assessment, and Management",4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 495C,Field Experience for World Languages Teacher Preparation in Grades 6-12,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 411,Methods of Teaching World Languages in Grades 1-5,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 412W,Methods of Teaching World Languages in Grades 6-12,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,HDFS 239,Adolescent Development,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 495B,Field Experience for World Languages Teacher Preparation in Grades 1-5,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 495E,Practicum in Student Teaching--Secondary Education,15,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,HDFS 229,Infant and Child Development,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,EDTHP 115,Education in American Society,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 280,Introduction to Teaching English Language Learners,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 295,Introductory Field Experience for Teacher Preparation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
