Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Agribusiness Management Minor,21,AGBM 200,Introduction to Agricultural Business Management,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 106,Agribusiness Problem Solving,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 102,Economics of the Food System,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 101,Economic Principles of Agribusiness Decision Making,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,,Select Option A or B:,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AG 301,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 302,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 308W,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 320,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,AGBM 338,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,,"Select 6 credits from any 400-level ABGM courses (excluding, unless approved by the AGBM program, AGBM 496)",,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
Agribusiness Management Minor,21,,"Select 9 credits from any 400-level AGMB courses (excluding, unless approved by the AGBM program, AGBM 496)",,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
