Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Architecture Studies Minor,21,ARCH 210,Ideas Across Time in Architecture and Urbanism,N/A,Mandatory,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 100,Architecture and Ideas,3,Mandatory,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 316,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 201,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 202,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 312,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 316,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 317,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARCH 499,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 120,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 140,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 308N,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 315,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
Architecture Studies Minor,21,ARTH 330,N/A,,Select 3 Credits,"6 credits must be at the 400-level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses available to Architecture majors only.; Courses available to Architectural Engineering majors only.; ARCH prefix courses excluding ARCH 130A and ARCH 441",https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-studies-minor/
