Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Asian Studies Minor,21,ASIA 3,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 100,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 101N,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 102,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 103,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 104,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 105,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 106N,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,ASIA 197,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
Asian Studies Minor,21,,"Select 15 credits from a departmental list, at least 6 at the 400 level; independent study credits selected in consultation with adviser; additional further credits in language studies may be permitted up to 6 credits.",,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses not on the list that deal substantially with some aspect of Asia in any discipline may also count, pending approval of an adviser. Students seeking to combine an Asian Studies minor with a major in an Asian language (such as CHNS or JAPNS) may include up to 15 credits of language study in a SECOND Asian language, but must have at least 3 courses that do not overlap with their other major(s) or minor(s) in Asian Studies or other Asian languages.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/asian-studies-minor/
