Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Astrobiology Minor,18,GEOSC 204,Geobiology,3-4,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,ASTRO 291,Astronomical Methods and the Solar System,N/A,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,EARTH 2,The Earth System and Global Change,3,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,BIOL 427,Evolution,N/A,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,GEOSC 21,Earth and Life: Origin and Evolution,N/A,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,ASTRO 140,Life in the Universe,3,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,BIOL/GEOSC 474,Astrobiology,3,Mandatory,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,ASTRO 475W,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,BIOL 405,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,BMB 401,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,BMB 402,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,GEOSC 416,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,GEOSC 419,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,METEO 466,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
Astrobiology Minor,18,MICRB 201,N/A,,Select 6 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/astrobiology-minor/
