Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Bioethics and Medical Humanities Minor,18,PHIL 132/RLST 131,Bioethics,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,BMH 490,Bioethics and Medical Humanities Capstone Course,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,BBH 301W,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,BIOL 461,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,NURS 464,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,PHIL 432,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,STS 432,N/A,N/A,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,PHIL 498,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,WMNST 458,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,CAS 253,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,CAS 453,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,HIST 103,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,ANTH 470,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,ANTH 471H,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,CSD 269,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,FDSC 280,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,HPA 301W,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,KINES 345,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
Bioethics and Medical Humanities Minor,18,WMNST 250,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; One course must be selected from the list of Ethics courses.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/bioethics-medical-humanities-minor/
