Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Biological Engineering Minor,18,AGRO 28,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,ANSC 201,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,ASM/ERM 309,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BIOL 110,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BIOL 127,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BMB 211,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BMB/MICRB 251,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,CHEM 202,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,CHEM 210,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,FDSC 200,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,HORT 101,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,MICRB 201,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,SOILS 101,N/A,,Select 3 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BE 301,N/A,,Select 6 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
Biological Engineering Minor,18,BE 302,N/A,,Select 6 Credits,"The minor requires a minimum of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-minor/
