Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Biology Minor,18,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 129,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 141,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 142,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 161,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 162,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 163,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 164,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 220W,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 222,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 230W,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 240W,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,BIOL 322,N/A,,Select 7 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
Biology Minor,18,,Select 6-9 credits from 400-level Biology courses,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 400, BIOL 496, and SC 495 credits may not be used to fulfill this requirement.",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-minor/
