Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Creative Writing Minor,18,ENGL 212,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 213,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 214,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 215,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 281,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 401,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 411M,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 412,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 413,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 414,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 415,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 422,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL/ENVST 424,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 425,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL/CMLIT 429,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 435,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 436,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 437,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 439,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 486,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
Creative Writing Minor,18,ENGL 495,N/A,,Select 9 Credits,"Some courses may require prerequisites.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/creative-writing-minor/
