Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Dispute Management and Resolution Minor,18,LHR 304,Labor and Employment Relations Fundamentals,3,Mandatory,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 203,Interpersonal Communication,3,Mandatory,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,LHR 437,N/A,,Select 12 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 404,N/A,N/A,Select 12 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 250,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 403,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 426W,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 452W,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,CAS 471,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
Dispute Management and Resolution Minor,18,LHR 201,N/A,,Select 6 Credits,"Students pursuing the minor must complete 9 credits of prescribed course work and 9 credits of additional course work distributed across at least two of the eight areas identified below. Of the 18 credits selected, at least 9 must be at the 400 level, 6 must be from Communication Arts and Sciences, and 6 must be from Labor and Employment Relations.; Only courses in which the student earns a grade of C or better may be counted toward fulfillment of requirements for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses may require other course works as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/dispute-management-resolution-minor/
