Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Early Development and Education Minor,20,ECE 451,Instruction in Early Childhood Education Derived from Development Theories,3,Mandatory,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,CI 295,Introductory Field Experience for Teacher Preparation,3,Mandatory,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,HDFS 330,"Observation or Experience with Children, Youth, and Families",N/A,Mandatory,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,ECE 479,The Young Child's Play as Educative Processes,3,Mandatory,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,ECE 453,"Parent Involvement in Home, Center, and Classroom Instruction",2-3,Mandatory,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,EDPSY 10,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,EDPSY 11,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,HDFS 229,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,CI 495,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,CSD 146,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,CSD 300,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,ECE 453,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,ECE/HDFS 454,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,HDFS 428,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,HDFS 430,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
Early Development and Education Minor,20,PSYCH 410,N/A,,Select 3 Credits,"Some courses may require prerequisites.; For a Minor in Early Development and Education, a minimum of 20 credits is required.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/education/early-development-education-minor/
