Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
East European Studies Minor,26,RUS 100,Russian Culture and Civilization,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 410,N/A,N/A,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 200,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 401,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,UKR 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,Select one of the following:,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,POL 1 | POL 2 | POL 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 1 | RUS 2 | RUS 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,POL 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,Select one of the following:,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,UKR 1 | UKR 2 | UKR 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 1 | RUS 2 | RUS 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 3,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
East European Studies Minor,26,RUS 410,N/A,N/A,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Other courses approved by the program adviser, such as *97, can also be used.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/east-european-studies-minor/
