Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Environmental Engineering Minor,18,CE 370,Introduction to Environmental Engineering,3,Mandatory,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,BE 308,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 479,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CHEM 202,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CHEM 210,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,BE 302,N/A,,Select 0 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CHE 210,N/A,,Select 0 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,EGEE 302,N/A,,Select 0 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,MNPR 301,N/A,,Select 0 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,NUCE 430,N/A,,Select 0 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,AERSP 308,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,BE 467,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 371,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 462,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CHE 330,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,EME 303,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,ME 320,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,METEO 454,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,NUCE 431W,N/A,,Select 0-3 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,BE 468,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,BE 477,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 472W,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 475,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CE 476,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,CHEM 402,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,EGEE/ME 430,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,EGEE 470,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
Environmental Engineering Minor,18,ENVSE 408,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; 2 credits of engineering design are included.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/environmental-engineering-minor/
