Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Environmental Soil Science Minor,18,SOILS 403,Soil Morphology Practicum,2,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,SOILS 101,Introductory Soil Science,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,SOILS 102,Introductory Soil Science Laboratory,1,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,SOILS courses,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,ASM 327,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,CE 335,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,ERM 433,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,ERM 440,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,FOR 475,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,TURF 434,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
Environmental Soil Science Minor,18,TURF 435,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
