Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Environmental and Renewable Resource Economics Minor,18,CED 429,Natural Resource Economics,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,ECON 302,Intermediate Microeconomic Analysis,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,CED 201,Introductory Environmental and Resource Economics,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,CED 329H,N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,ECON 428,N/A,N/A,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,CED 431W,N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,CED 450,N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,ERM 411,N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,ERM 449,N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
Environmental and Renewable Resource Economics Minor,18,300- | 400-level internship | independent study (3 credit max),N/A,,Select 9 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
