Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Equine Science Minor,22,ANSC 201,Animal Science,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 107,Introduction to Equine Science and the Equine Industry,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 217,Introduction to Horse Judging,2,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 327,Horse Production and Management,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 437,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 447,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 457,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 467W,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,AGRO 423,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
Equine Science Minor,22,ANSC 117,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some selections may require prerequisites not required by the minor.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
