Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Geophysics Minor,29,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 1,Physical Geology,3,Mandatory,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,EARTH 2,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,EARTH 101,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,EARTH 105N,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,EARTH 106,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 1,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 10,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 40,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 109H,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 402Y,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 434,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 452,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 483,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 487,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 488,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,GEOSC 489,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,PHYS 212,N/A,,Select 11 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
Geophysics Minor,29,MATH 220,N/A,,Select 3 Credits,"The minor consists of 18-20 credits satisfying the requirements below.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Geoscience majors may not double count these courses in their major.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geophysics-minor/
