Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Horticulture Minor,18,HORT 101,Horticultural Science,3,Mandatory,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 202,Plant Propagation,3,Mandatory,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 315,Environmental Effects on Horticultural Crops,3,Mandatory,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 131,N/A,,Select 3 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 137,N/A,,Select 3 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 138,N/A,,Select 3 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 232,N/A,,Select 3 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 402W,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 407,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 412W,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 420,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 431,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 432,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 433,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 453,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 455,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
Horticulture Minor,18,HORT 459,N/A,,Select 6 Credits,"The minor in Horticulture consists of a minimum of 18 credits.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
