Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,IST 110,"Information, People and Technology",3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,IST 210,Organization of Data,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,GEOG 463,Geospatial Information Management,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,IST 220,Networking and Telecommunications,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,GEOG 461W,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,GEOG 464,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,GEOG 485,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,MATSE 419,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,METEO 473,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,METEO 474,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
Information Sciences and Technology for Earth and Mineral Sciences Minor,18,PNG 430,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/information-sciences-technology-earth-mineral-sciences-minor/
