Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Information Sciences and Technology for Industrial Engineering Minor,21,IE 330,Engineering Analytics,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 210,Organization of Data,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 110,"Information, People and Technology",3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 220,Networking and Telecommunications,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IE 408,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IE 418,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IE 433,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 402,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 431,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 442,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,IST 454,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,MATH 451,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
Information Sciences and Technology for Industrial Engineering Minor,21,MATH 455,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/engineering/information-sciences-technology-industrial-engineering-minor/
