Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Japanese Language Minor,18,JAPNS 2,Level One Japanese B,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 3,Level Two Japanese A,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 110,N/A,,Select 4 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 299,N/A,,Select 4 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,ASIA 499,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 401,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 402,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 403Y,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 404,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
Japanese Language Minor,18,JAPNS 410,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Special topics courses in English or other courses in English do not satisfy this requirement.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/japanese-language-minor/
