Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Kinesiology Minor,18,KINES 100,N/A,,Select 6 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 101,N/A,,Select 6 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 202,N/A,,Select 6 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 100,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 101,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 160N,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 202,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 303,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 321,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 341,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 345,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 350,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 360,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 384,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
Kinesiology Minor,18,KINES 408 | KINES 495B | KINES 495C | KINES 495D | KINES 496,N/A,,Select 12 Credits,"Students in the Athletic Training Major are not permitted to obtain a Kinesiology Minor.; Students may need additional prerequisites to complete this minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-minor/
